RENDELL, RUTH - NO MAN'S NIGHTINGALE
RENDELL, RUTH - THE CROCODILE BIRD
RENNISON, LOUISE - A MIDSUMMER TIGHTS DREAM
REUS, KATIE - RED STORE SECURITY SERIES, VOL2, BOOKS 4-6
REUS, KATIE - BISHOP'S KNIGHT
REUS, KATIE - BISHOP'S QUEEN
REUS, KATIE - DANGEROUS PROTECTOR
REUS, KATIE - FIRST SURRENDER
REUS, KATIE - RED STONE SECURIT SERIES: VOLUME 3 BOOKS 7-9
REVELL, NANCY - A CHRISTMAS WISH FOR THE SHIPYARD GIRLS
REVELL,NANCY - THE SHIPYARD GIRLS
REYNOLDS, ALASTAIR - REVENGER
REYNOLDS, ALASTAIR - SHADOW CAPTAIN
RHYS, RACHEL - DANGEROUS CROSSING
RHYS, RACHEL - FATAL INHERITANCE
RICE, ANNE - BLOOD AND GOLD
RICE, LISA MARIE - HEART OF DANGER
RICE, LISA MARIE - I DREAM OF DANGER
RICE, LISA MARIE -MIDNIGHT PROMISES
RICHARD, PENNY - RAMBLER'S REST
RICHARDS, CAROLINE - THE DEEPEST SIN
RICHARDS, EMILIE - THE PARTING GLASS
RICHELL, HANNAH - THE SHADOW OF YOU
RICHELL, HANNAH - THE SHADOW YEAR
RICHMAN, ALYSON - THE LOST WIFE
RICHMAN, ALYSON - THE SECRET OF CLOUDS
RICHMOND, MICHELLE - THE MARRIAGE PACT
RICKLOFF, ALIX - LOST IN YOU
RIDDLE, A.G. - DEPARTURE
RIGGS, RANSON - MISS PEREGRINE'S HOUSE FOR PECULIAR CHILDREN
RILEY, JUDITH MERKLE - IN PURSUIT OF THE GREEN LION
RIVERS, CAROL - EAST END JUBILEE
ROBARDS, KAREN - GUILTY
ROBARDS, KAREN - HUNTED
ROBARDS, KAREN - IRRESTIBLE
ROBARDS, KAREN - PARADISE COUNTY
ROBARDS, KAREN - THE BLACK SWAN OF PARIS
ROBARDS, KAREN - THE FIFTH DOCTRINE
ROBARDS, KAREN - THE LAST KISS GOODBYE
ROBARDS, KAREN - THE LAST VICTIM
ROBARDS, KAREN - THE MOSCOW DECEPTION
ROBARDS, KAREN - THE ULTIMATUM
ROBB, J.D - CONNECTIONS IN DEATH
ROBB, J.D. - SECRETS IN DEATH
ROBB, J.D. - SHADOWS IN DEATH
ROBB, J.D. - DARK IN DEATH
ROBB, J.D. - ORIGIN IN DEATH
ROBB, J.D. - PORTRAIT IN DEATH
ROBB, J.D. - PROMISES IN DEATH
ROBB, J.D. - TREACHERY IN DEATH
ROBB, J.D. - VENDETTA IN DEATH
ROBERT, KATEE - WILD COWBOY NIGHTS
ROBERTS, NORA - MONTANA SKY
ROBERTS, NORA - STARS
ROBERTS, NORA - SWEET REVENGE
ROBERTS, NORA - TABLE FOR 2
ROBERTS, NORA - THE LAST BOYFRIEND
ROBERTS, NORA - BAY OF SIGHS
ROBERTS, NORA - BLACK HILLS
ROBERTS, NORA - BLUE SMOKE
ROBERTS, NORA - CHANGE OF HEART
ROBERTS, NORA - CHASING FIRE
ROBERTS, NORA - DIVINE EVIL
ROBERTS, NORA - FROM DAWN TO DUK
ROBERTS, NORA - HIGH NOON
ROBERTS, NORA - HOMEPORT
ROBERTS, NORA - HONEST ILLUSIONS
ROBERTS, NORA - ISLAND OF GLASS
ROBERTS, NORA - KEY OF LIGHT
ROBERTS, NORA - LEGACY
ROBERTS, NORA - MIDNIGHT SHADOWS
ROBERTS, NORA - MYSTERIOUS
ROBERTS, NORA - NORTHERN LIGHTS
ROBERTS, NORA - NOT WITHOUT YOU
ROBERTS, NORA - PERFECT HARMONY
ROBERTS, NORA - PUBLIC SECRETS
ROBERTS, NORA - SECRETS BY NIGHTFALL
ROBERTS, NORA - SHELTER IN PLACE
ROBERTS, NORA - SUMMER COVE
ROBERTS, NORA - SWEET RAINS
ROBERTS, NORA - THE MAGIC CIRCLE
ROBERTS, NORA - THE DONOVAN LEGACY CHARMED
ROBERTS, NORA - THE LAST BOYFRIEND
ROBERTS, NORA - THE NEXT ALWAYS
ROBERTS, NORA - THE OBSESSION
ROBERTS, NORA - THE PERFECT HOPE
ROBERTS, NORA - THE VILLA
ROBERTS, NORA - THE WITNESS
ROBERTS, NORA - TRUE BETRAYALS
ROBERTS, NORA - UNDER CURRENTS
ROBERTS, NORA - WHISKEY BEACH
