DEKKER, RACHELLE - WHEN THROUGH DEEP WAERS
DELANEY, J.P. - PLAYING NICE
DELANEY, J.P. - THE GIRL BEFORE
DENESON, JANELLE, TINA DONAHUE AND SHARON CULLARS - BAD BOYS IWTH RED ROSES
DENZIL, SARAH A. - SAVING APRIL
DESANTI, CAROLE - THE UNRULY PASSIONS OF EUGENIE R.
DEVERAUX, JUDE - ALWAYS
DEVERAUX, JUDE - CHANGE OF HEART
DEVERAUX, JUDE - FIRST IMPRESSIONS
DEVERAUX, JUDE - FOREVER AND ALWAYS
DEVERAUX, JUDE - LAVENDER MORNING
DEVERAUX, JUDE - MOONLIGHT MASQUERADE
DEVERAUX, JUDE - STRANGER IN THE MOONLIGHT
DEVERAUX, JUDE - TEMPTATION
DeWITT, ABIGAIL - NEWS OF OUR LOVED ONES
DIAZ, LENA - EXIT STRATEGY
DICKENS, CHARLES - GREAT EXPECTATIONS
DIMON, HELENKAY - FALLING HARD
DOBBS, MICHAEL - CHURCHILL'S TRIUMPH
DODD, CHRISTINA - VIRTUE FALLS
DODD, CHRISTINA - DANGEROUS LADIES
DODD, CHRISTINA - SCANDALOUS AGAIN
DOGG, CHRISTINA - CLOSE TO YOU
DONNELLY, JENNIFER - THE WILD ROSE
DORRIE, NADINE - THE ANGELS OF LOVELY LANE
DOSTOEVSKY, FYODOR - THE BROTHERS KARAMAZOV
DOUGLAS, KATE - REDEMPTION
DOWLING, CLARE - TOO CLOSE FOR COMFORT
DOWNES, ANNA - THE SHADOW HOUSE
DRABBLE, MARGARET - THE DARK FLOOD RISES
DRAKE, PIPER J. - ABSOLUTE TRUST
DRAKE, SHANNON - DEAD BY DUSK
DRAPER, SOPHIE - A STRANGER IN OUR HOME
DRAPER, SOPHIE - THE HOUSE OF SECRETS
DUGONI, ROBERT - THE JURY MASTER
DUNANT, SARAH - SACRED HEARTS
DUNNE, DOMINICK - A SEASON IN PURGATORY
DYBEK, NICK - THE VERDUN AFFAIR
DYKES, AMANDA - WHOSE WAVES THESE ARE
DYKES, AMANDA - YOURS IS THE NIGHT
EASON, LYNETTE - CODE OF VALOR
EAST, PHILIPA - SAFE AND SOUND
EDEN, CYNTHIA - DEADLY LIES
EDEN, SARAH - THE KISS OF A STRANGER
EICHER, JERRY S. - A DREAM FOR HANNAH
EKBACK, CECILIA - WOLF WINTER
ELLASBERG, JAN - HANNAH'S WAR
ELLIS, KAREN - A MAP OF THE DARK
ELLISON, RALPH - THREE DAYS BEFORE THE SHOOTING
ELLSWORTH, LORETTA - STARS OVER CLEAR LAKE
ELLWOOD, NUALA - MY SISTERS BONES
ELPHINSTONE MARGARET - LIGHT
EMERSON, KATE - SECRETS OF THE TUDOR COURT BY ROYAL DECREE
ENDICOTT, MARINA - THE LITTLE SHADOW
ENGBERG, KATRINE - THE BUTTERFLY HOUSE
ERDMAN, PAUL - THE PANIC OF'89
ERSKINE, BARBARA - HIDING FROM THE LIGHT
EVANS, LISSA - THEIR FINEST
EWING, AMY - THE WHITE ROSE
FADER, MOLLY - THE McAVOY SISTERS BOOK OF SECRETS
FALLON, SIOBHAN - THE CONFUSION OF LANGUAGES
FAYE, LNDSAY - THE GODS OF GOTHAM
FEATHER, JANE - TRAPPED AT THE ALTAR
FELDMAN, ELLEN - PARIS NEVER LEAVES YOU
FELLOWS, JESSICA - THE MITFORD MURDERS
FENSKY, TAWNA - THE TWO-DATE RULE
FENWICK, LIZ - UNDER A CORNISH SKY
FERENCIK, ERICA - INTO THE JUNGLE
FERGUSON, SARAH - HER HEART FOR A COMPASS
FERGUSON, WILL - 419
FERNANDO, CHANTAL - CUSTOM BUILT
